Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.98,26.02,29.93,37.0,0
Nucleus 4H :,31.01,26.06,29.9,37.07,0
Nucleus 5H :,31.27,27.6,30.63,35.58,0
Nucleus 6H :,31.27,27.56,30.64,35.6,0
Nucleus 7H :,30.62,26.01,27.54,38.3,0
Nucleus 8H :,31.73,23.45,29.51,42.24,0
Nucleus 9H :,31.73,23.44,29.04,42.71,0
Nucleus 10H :,31.31,22.21,29.95,41.78,0
Nucleus 11H :,23.61,21.11,22.88,26.83,0
Nucleus 14H :,23.61,20.96,22.94,26.92,0
Nucleus 16H :,23.61,20.94,22.99,26.91,0
Nucleus 18H :,23.63,20.92,23.05,26.91,0
Nucleus 20H :,23.63,20.95,23.05,26.89,0
Nucleus 22H :,23.63,21.1,22.95,26.83,0
Nucleus 0C :,167.99,155.77,162.41,185.79,0
Nucleus 1C :,164.44,160.73,162.49,170.11,0
Nucleus 2C :,164.85,151.04,156.86,186.65,0
Nucleus 12C :,42.11,-76.45,24.56,178.23,0
Nucleus 13C :,41.76,-76.87,23.9,178.24,0
Nucleus 15C :,41.69,-76.85,23.72,178.21,0
Nucleus 17C :,42.3,-76.03,24.9,178.03,0
Nucleus 19C :,42.94,-75.56,26.3,178.08,0
Nucleus 21C :,42.9,-75.54,26.05,178.2,0
