Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.65,25.75,29.49,36.71,0
Nucleus 4H :,30.65,25.76,29.47,36.71,0
Nucleus 5H :,31.05,27.45,29.99,35.72,0
Nucleus 6H :,31.05,27.42,29.99,35.74,0
Nucleus 7H :,30.49,25.94,27.48,38.04,0
Nucleus 8H :,32.24,26.22,31.62,38.88,0
Nucleus 9H :,32.3,26.23,31.5,39.17,0
Nucleus 10H :,31.76,24.71,31.18,39.39,0
Nucleus 11H :,23.72,21.25,23.18,26.73,0
Nucleus 14H :,23.73,21.13,23.27,26.79,0
Nucleus 16H :,23.73,21.07,23.34,26.78,0
Nucleus 18H :,23.73,21.05,23.35,26.8,0
Nucleus 20H :,23.73,21.07,23.31,26.81,0
Nucleus 22H :,23.72,21.2,23.21,26.75,0
Nucleus 0C :,170.03,158.22,163.16,188.71,0
Nucleus 1C :,164.67,161.08,163.0,169.92,0
Nucleus 2C :,164.23,149.44,156.86,186.38,0
Nucleus 12C :,45.45,-72.02,30.7,177.66,0
Nucleus 13C :,45.45,-72.04,30.82,177.57,0
Nucleus 15C :,45.55,-71.85,31.01,177.5,0
Nucleus 17C :,45.66,-71.65,31.2,177.44,0
Nucleus 19C :,45.76,-71.56,31.36,177.47,0
Nucleus 21C :,45.65,-71.75,31.07,177.62,0
