Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.32,25.73,28.93,36.29,0
Nucleus 4H :,30.3,25.74,28.9,36.27,0
Nucleus 5H :,30.81,27.47,29.03,35.94,0
Nucleus 6H :,30.81,27.44,29.03,35.95,0
Nucleus 7H :,30.32,26.0,27.55,37.41,0
Nucleus 8H :,31.3,27.2,30.02,36.69,0
Nucleus 9H :,31.31,27.23,29.94,36.75,0
Nucleus 10H :,30.79,25.72,28.87,37.78,0
Nucleus 11H :,23.72,21.02,23.07,27.06,0
Nucleus 14H :,23.71,20.97,23.09,27.08,0
Nucleus 16H :,23.71,20.93,23.13,27.08,0
Nucleus 18H :,23.72,20.93,23.14,27.09,0
Nucleus 20H :,23.72,20.95,23.12,27.08,0
Nucleus 22H :,23.72,21.0,23.08,27.07,0
Nucleus 0C :,168.91,158.08,162.93,185.73,0
Nucleus 1C :,164.67,161.52,163.58,168.91,0
Nucleus 2C :,164.05,149.56,156.62,185.96,0
Nucleus 12C :,46.14,-70.88,32.68,176.61,0
Nucleus 13C :,46.12,-70.91,32.7,176.57,0
Nucleus 15C :,46.15,-70.87,32.77,176.55,0
Nucleus 17C :,46.17,-70.8,32.76,176.55,0
Nucleus 19C :,46.21,-70.75,32.78,176.59,0
Nucleus 21C :,46.2,-70.8,32.77,176.63,0
