Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.37,25.73,29.04,36.35,0
Nucleus 4H :,30.36,25.73,29.02,36.33,0
Nucleus 5H :,30.86,27.47,29.2,35.9,0
Nucleus 6H :,30.85,27.45,29.2,35.91,0
Nucleus 7H :,30.35,25.97,27.53,37.54,0
Nucleus 8H :,31.46,27.1,30.42,36.86,0
Nucleus 9H :,31.47,27.13,30.34,36.95,0
Nucleus 10H :,30.96,25.6,29.34,37.95,0
Nucleus 11H :,23.72,21.12,23.03,27.0,0
Nucleus 14H :,23.72,21.07,23.07,27.02,0
Nucleus 16H :,23.72,21.01,23.12,27.03,0
Nucleus 18H :,23.72,20.99,23.14,27.04,0
Nucleus 20H :,23.72,21.02,23.11,27.04,0
Nucleus 22H :,23.72,21.09,23.05,27.01,0
Nucleus 0C :,169.05,157.96,162.83,186.35,0
Nucleus 1C :,164.64,161.42,163.43,169.06,0
Nucleus 2C :,164.04,149.46,156.66,186.01,0
Nucleus 12C :,46.12,-71.01,32.6,176.78,0
Nucleus 13C :,46.11,-71.03,32.63,176.72,0
Nucleus 15C :,46.14,-70.96,32.7,176.68,0
Nucleus 17C :,46.16,-70.88,32.69,176.68,0
Nucleus 19C :,46.2,-70.84,32.72,176.73,0
Nucleus 21C :,46.19,-70.91,32.69,176.8,0
