Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.49,25.71,29.26,36.51,0
Nucleus 4H :,30.49,25.73,29.25,36.5,0
Nucleus 5H :,30.95,27.46,29.58,35.81,0
Nucleus 6H :,30.95,27.44,29.59,35.82,0
Nucleus 7H :,30.41,25.94,27.49,37.8,0
Nucleus 8H :,31.87,26.81,31.26,37.54,0
Nucleus 9H :,31.91,26.84,31.18,37.71,0
Nucleus 10H :,31.4,25.29,30.43,38.47,0
Nucleus 11H :,23.73,21.26,23.07,26.85,0
Nucleus 14H :,23.73,21.16,23.14,26.89,0
Nucleus 16H :,23.73,21.09,23.21,26.89,0
Nucleus 18H :,23.73,21.07,23.23,26.9,0
Nucleus 20H :,23.73,21.1,23.19,26.91,0
Nucleus 22H :,23.73,21.21,23.11,26.86,0
Nucleus 0C :,169.46,157.86,162.78,187.75,0
Nucleus 1C :,164.66,161.26,163.22,169.5,0
Nucleus 2C :,164.11,149.36,156.78,186.19,0
Nucleus 12C :,46.05,-71.27,32.21,177.2,0
Nucleus 13C :,46.04,-71.28,32.28,177.13,0
Nucleus 15C :,46.1,-71.15,32.39,177.06,0
Nucleus 17C :,46.13,-71.05,32.4,177.03,0
Nucleus 19C :,46.18,-71.01,32.46,177.08,0
Nucleus 21C :,46.14,-71.12,32.35,177.19,0
