Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.34,25.72,28.97,36.32,0
Nucleus 4H :,30.33,25.73,28.95,36.3,0
Nucleus 5H :,30.84,27.47,29.11,35.93,0
Nucleus 6H :,30.83,27.44,29.11,35.94,0
Nucleus 7H :,30.33,25.99,27.54,37.47,0
Nucleus 8H :,31.37,27.16,30.2,36.76,0
Nucleus 9H :,31.38,27.2,30.12,36.83,0
Nucleus 10H :,30.86,25.67,29.07,37.85,0
Nucleus 11H :,23.72,21.07,23.06,27.04,0
Nucleus 14H :,23.71,21.01,23.08,27.05,0
Nucleus 16H :,23.72,20.96,23.13,27.06,0
Nucleus 18H :,23.72,20.96,23.14,27.06,0
Nucleus 20H :,23.72,20.99,23.12,27.06,0
Nucleus 22H :,23.72,21.05,23.07,27.04,0
Nucleus 0C :,168.96,158.03,162.88,185.97,0
Nucleus 1C :,164.68,161.5,163.54,169.0,0
Nucleus 2C :,164.07,149.55,156.65,186.0,0
Nucleus 12C :,46.13,-70.93,32.65,176.68,0
Nucleus 13C :,46.13,-70.95,32.68,176.65,0
Nucleus 15C :,46.16,-70.9,32.75,176.62,0
Nucleus 17C :,46.18,-70.82,32.74,176.61,0
Nucleus 19C :,46.21,-70.78,32.76,176.65,0
Nucleus 21C :,46.2,-70.84,32.74,176.7,0
