Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.58,25.72,29.4,36.63,0
Nucleus 4H :,30.58,25.74,29.39,36.62,0
Nucleus 5H :,31.01,27.45,29.83,35.76,0
Nucleus 6H :,31.01,27.43,29.83,35.77,0
Nucleus 7H :,30.45,25.93,27.48,37.95,0
Nucleus 8H :,32.13,26.51,31.59,38.28,0
Nucleus 9H :,32.18,26.53,31.49,38.52,0
Nucleus 10H :,31.65,24.99,30.99,38.98,0
Nucleus 11H :,23.73,21.27,23.15,26.76,0
Nucleus 14H :,23.73,21.16,23.23,26.81,0
Nucleus 16H :,23.73,21.09,23.3,26.81,0
Nucleus 18H :,23.74,21.07,23.32,26.83,0
Nucleus 20H :,23.74,21.1,23.28,26.83,0
Nucleus 22H :,23.73,21.22,23.19,26.78,0
Nucleus 0C :,169.84,158.08,162.99,188.46,0
Nucleus 1C :,164.66,161.14,163.08,169.76,0
Nucleus 2C :,164.17,149.38,156.83,186.31,0
Nucleus 12C :,45.79,-71.6,31.49,177.49,0
Nucleus 13C :,45.8,-71.61,31.61,177.4,0
Nucleus 15C :,45.88,-71.45,31.76,177.33,0
Nucleus 17C :,45.94,-71.3,31.85,177.28,0
Nucleus 19C :,46.02,-71.23,31.95,177.33,0
Nucleus 21C :,45.94,-71.39,31.74,177.46,0
