Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.53,25.71,29.33,36.56,0
Nucleus 4H :,30.53,25.73,29.31,36.55,0
Nucleus 5H :,30.98,27.45,29.7,35.78,0
Nucleus 6H :,30.98,27.44,29.7,35.8,0
Nucleus 7H :,30.43,25.94,27.49,37.87,0
Nucleus 8H :,32.0,26.69,31.45,37.85,0
Nucleus 9H :,32.04,26.72,31.36,38.05,0
Nucleus 10H :,31.52,25.16,30.71,38.68,0
Nucleus 11H :,23.73,21.27,23.11,26.8,0
Nucleus 14H :,23.73,21.17,23.18,26.85,0
Nucleus 16H :,23.73,21.09,23.25,26.85,0
Nucleus 18H :,23.74,21.07,23.27,26.87,0
Nucleus 20H :,23.73,21.1,23.23,26.87,0
Nucleus 22H :,23.73,21.22,23.14,26.82,0
Nucleus 0C :,169.65,157.96,162.88,188.12,0
Nucleus 1C :,164.66,161.21,163.16,169.62,0
Nucleus 2C :,164.13,149.35,156.81,186.24,0
Nucleus 12C :,45.97,-71.39,31.95,177.34,0
Nucleus 13C :,45.97,-71.4,32.04,177.26,0
Nucleus 15C :,46.03,-71.26,32.16,177.18,0
Nucleus 17C :,46.07,-71.14,32.2,177.14,0
Nucleus 19C :,46.12,-71.1,32.27,177.19,0
Nucleus 21C :,46.07,-71.23,32.13,177.31,0
