Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.46,25.71,29.21,36.47,0
Nucleus 4H :,30.46,25.73,29.19,36.45,0
Nucleus 5H :,30.93,27.46,29.49,35.83,0
Nucleus 6H :,30.92,27.44,29.49,35.84,0
Nucleus 7H :,30.39,25.95,27.5,37.73,0
Nucleus 8H :,31.76,26.9,31.07,37.31,0
Nucleus 9H :,31.8,26.93,31.0,37.46,0
Nucleus 10H :,31.28,25.38,30.16,38.3,0
Nucleus 11H :,23.73,21.24,23.05,26.89,0
Nucleus 14H :,23.73,21.15,23.11,26.92,0
Nucleus 16H :,23.73,21.07,23.18,26.93,0
Nucleus 18H :,23.73,21.06,23.19,26.94,0
Nucleus 20H :,23.73,21.09,23.16,26.94,0
Nucleus 22H :,23.73,21.2,23.08,26.9,0
Nucleus 0C :,169.34,157.85,162.76,187.4,0
Nucleus 1C :,164.66,161.31,163.28,169.39,0
Nucleus 2C :,164.09,149.38,156.76,186.14,0
Nucleus 12C :,46.09,-71.18,32.36,177.09,0
Nucleus 13C :,46.08,-71.19,32.42,177.02,0
Nucleus 15C :,46.13,-71.09,32.52,176.96,0
Nucleus 17C :,46.16,-70.99,32.52,176.94,0
Nucleus 19C :,46.2,-70.96,32.56,176.99,0
Nucleus 21C :,46.17,-71.06,32.49,177.09,0
