Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.39,25.73,29.07,36.37,0
Nucleus 4H :,30.38,25.73,29.05,36.35,0
Nucleus 5H :,30.87,27.47,29.26,35.88,0
Nucleus 6H :,30.87,27.45,29.26,35.89,0
Nucleus 7H :,30.36,25.97,27.53,37.58,0
Nucleus 8H :,31.52,27.07,30.56,36.94,0
Nucleus 9H :,31.53,27.09,30.48,37.03,0
Nucleus 10H :,31.02,25.56,29.5,38.01,0
Nucleus 11H :,23.72,21.15,23.03,26.98,0
Nucleus 14H :,23.72,21.09,23.07,27.0,0
Nucleus 16H :,23.72,21.03,23.13,27.01,0
Nucleus 18H :,23.72,21.01,23.14,27.02,0
Nucleus 20H :,23.72,21.04,23.11,27.02,0
Nucleus 22H :,23.72,21.12,23.05,26.99,0
Nucleus 0C :,169.09,157.92,162.8,186.56,0
Nucleus 1C :,164.64,161.4,163.4,169.13,0
Nucleus 2C :,164.05,149.43,156.68,186.03,0
Nucleus 12C :,46.12,-71.04,32.57,176.84,0
Nucleus 13C :,46.11,-71.05,32.6,176.78,0
Nucleus 15C :,46.14,-70.98,32.68,176.73,0
Nucleus 17C :,46.17,-70.89,32.67,176.73,0
Nucleus 19C :,46.21,-70.86,32.7,176.79,0
Nucleus 21C :,46.2,-70.94,32.67,176.86,0
