Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.41,25.72,29.11,36.4,0
Nucleus 4H :,30.4,25.73,29.1,36.38,0
Nucleus 5H :,30.89,27.47,29.32,35.87,0
Nucleus 6H :,30.88,27.45,29.32,35.88,0
Nucleus 7H :,30.37,25.97,27.52,37.62,0
Nucleus 8H :,31.59,27.03,30.71,37.03,0
Nucleus 9H :,31.61,27.06,30.64,37.14,0
Nucleus 10H :,31.1,25.51,29.7,38.09,0
Nucleus 11H :,23.72,21.18,23.03,26.95,0
Nucleus 14H :,23.72,21.11,23.08,26.98,0
Nucleus 16H :,23.72,21.04,23.14,26.99,0
Nucleus 18H :,23.73,21.02,23.16,27.0,0
Nucleus 20H :,23.72,21.06,23.12,26.99,0
Nucleus 22H :,23.72,21.15,23.06,26.96,0
Nucleus 0C :,169.15,157.89,162.77,186.79,0
Nucleus 1C :,164.66,161.39,163.38,169.21,0
Nucleus 2C :,164.07,149.43,156.71,186.07,0
Nucleus 12C :,46.12,-71.08,32.52,176.92,0
Nucleus 13C :,46.11,-71.09,32.56,176.86,0
Nucleus 15C :,46.14,-71.01,32.64,176.8,0
Nucleus 17C :,46.17,-70.92,32.64,176.79,0
Nucleus 19C :,46.21,-70.89,32.67,176.84,0
Nucleus 21C :,46.19,-70.97,32.62,176.92,0
