Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.35,25.73,29.0,36.33,0
Nucleus 4H :,30.34,25.73,28.99,36.31,0
Nucleus 5H :,30.84,27.47,29.15,35.91,0
Nucleus 6H :,30.84,27.45,29.15,35.92,0
Nucleus 7H :,30.34,25.98,27.54,37.5,0
Nucleus 8H :,31.41,27.13,30.3,36.81,0
Nucleus 9H :,31.42,27.16,30.22,36.89,0
Nucleus 10H :,30.91,25.64,29.19,37.9,0
Nucleus 11H :,23.71,21.09,23.03,27.02,0
Nucleus 14H :,23.72,21.04,23.07,27.04,0
Nucleus 16H :,23.72,20.99,23.12,27.05,0
Nucleus 18H :,23.72,20.97,23.13,27.06,0
Nucleus 20H :,23.72,21.0,23.1,27.05,0
Nucleus 22H :,23.72,21.07,23.05,27.03,0
Nucleus 0C :,169.01,158.01,162.87,186.16,0
Nucleus 1C :,164.64,161.44,163.46,169.01,0
Nucleus 2C :,164.04,149.48,156.64,185.99,0
Nucleus 12C :,46.12,-70.98,32.62,176.73,0
Nucleus 13C :,46.11,-71.0,32.65,176.68,0
Nucleus 15C :,46.14,-70.95,32.72,176.64,0
Nucleus 17C :,46.16,-70.87,32.71,176.64,0
Nucleus 19C :,46.2,-70.83,32.73,176.69,0
Nucleus 21C :,46.19,-70.89,32.71,176.75,0
