Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.3,25.73,28.9,36.28,0
Nucleus 4H :,30.29,25.74,28.88,36.26,0
Nucleus 5H :,30.8,27.46,29.0,35.95,0
Nucleus 6H :,30.8,27.44,29.0,35.96,0
Nucleus 7H :,30.31,26.0,27.55,37.39,0
Nucleus 8H :,31.28,27.22,29.95,36.67,0
Nucleus 9H :,31.28,27.24,29.87,36.72,0
Nucleus 10H :,30.76,25.74,28.79,37.76,0
Nucleus 11H :,23.72,21.0,23.07,27.08,0
Nucleus 14H :,23.71,20.96,23.09,27.09,0
Nucleus 16H :,23.72,20.92,23.13,27.1,0
Nucleus 18H :,23.72,20.91,23.14,27.1,0
Nucleus 20H :,23.72,20.94,23.12,27.1,0
Nucleus 22H :,23.71,20.98,23.08,27.08,0
Nucleus 0C :,168.9,158.11,162.95,185.63,0
Nucleus 1C :,164.66,161.52,163.59,168.86,0
Nucleus 2C :,164.03,149.56,156.6,185.94,0
Nucleus 12C :,46.12,-70.89,32.68,176.58,0
Nucleus 13C :,46.11,-70.92,32.7,176.54,0
Nucleus 15C :,46.14,-70.88,32.77,176.52,0
Nucleus 17C :,46.16,-70.8,32.76,176.52,0
Nucleus 19C :,46.19,-70.76,32.78,176.56,0
Nucleus 21C :,46.19,-70.8,32.77,176.6,0
