Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.33,25.73,28.95,36.3,0
Nucleus 4H :,30.31,25.73,28.93,36.28,0
Nucleus 5H :,30.82,27.47,29.07,35.93,0
Nucleus 6H :,30.82,27.45,29.07,35.94,0
Nucleus 7H :,30.32,25.99,27.54,37.44,0
Nucleus 8H :,31.34,27.18,30.1,36.73,0
Nucleus 9H :,31.34,27.22,30.02,36.79,0
Nucleus 10H :,30.83,25.7,28.96,37.82,0
Nucleus 11H :,23.72,21.04,23.05,27.06,0
Nucleus 14H :,23.72,21.0,23.08,27.07,0
Nucleus 16H :,23.72,20.95,23.12,27.08,0
Nucleus 18H :,23.72,20.94,23.13,27.08,0
Nucleus 20H :,23.72,20.97,23.11,27.08,0
Nucleus 22H :,23.72,21.02,23.07,27.06,0
Nucleus 0C :,168.95,158.07,162.91,185.87,0
Nucleus 1C :,164.64,161.48,163.53,168.92,0
Nucleus 2C :,164.02,149.51,156.61,185.95,0
Nucleus 12C :,46.12,-70.93,32.65,176.65,0
Nucleus 13C :,46.11,-70.96,32.68,176.61,0
Nucleus 15C :,46.14,-70.91,32.75,176.58,0
Nucleus 17C :,46.16,-70.83,32.74,176.58,0
Nucleus 19C :,46.2,-70.79,32.76,176.62,0
Nucleus 21C :,46.19,-70.84,32.74,176.67,0
