Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.73,25.79,29.6,36.8,0
Nucleus 4H :,30.73,25.8,29.58,36.82,0
Nucleus 5H :,31.11,27.47,30.17,35.68,0
Nucleus 6H :,31.1,27.43,30.17,35.71,0
Nucleus 7H :,30.52,25.95,27.48,38.13,0
Nucleus 8H :,32.3,25.75,31.44,39.72,0
Nucleus 9H :,32.36,25.75,31.26,40.06,0
Nucleus 10H :,31.81,24.26,31.21,39.96,0
Nucleus 11H :,23.71,21.22,23.2,26.71,0
Nucleus 14H :,23.72,21.09,23.29,26.78,0
Nucleus 16H :,23.72,21.04,23.35,26.77,0
Nucleus 18H :,23.72,21.02,23.37,26.78,0
Nucleus 20H :,23.72,21.04,23.34,26.79,0
Nucleus 22H :,23.71,21.17,23.23,26.73,0
Nucleus 0C :,170.04,158.22,163.27,188.63,0
Nucleus 1C :,164.64,160.98,162.88,170.06,0
Nucleus 2C :,164.33,149.64,156.88,186.47,0
Nucleus 12C :,44.85,-72.74,29.43,177.86,0
Nucleus 13C :,44.82,-72.81,29.5,177.78,0
Nucleus 15C :,44.94,-72.61,29.71,177.71,0
Nucleus 17C :,45.14,-72.29,30.07,177.63,0
Nucleus 19C :,45.3,-72.14,30.38,177.66,0
Nucleus 21C :,45.15,-72.35,30.0,177.81,0
