Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.85,25.89,29.74,36.91,0
Nucleus 4H :,30.85,25.89,29.71,36.94,0
Nucleus 5H :,31.18,27.51,30.39,35.63,0
Nucleus 6H :,31.17,27.46,30.38,35.66,0
Nucleus 7H :,30.57,25.97,27.5,38.23,0
Nucleus 8H :,32.2,24.93,30.85,40.83,0
Nucleus 9H :,32.24,24.91,30.57,41.23,0
Nucleus 10H :,31.72,23.51,30.89,40.76,0
Nucleus 11H :,23.68,21.16,23.13,26.74,0
Nucleus 14H :,23.69,21.03,23.22,26.81,0
Nucleus 16H :,23.69,20.99,23.28,26.8,0
Nucleus 18H :,23.7,20.97,23.31,26.81,0
Nucleus 20H :,23.7,21.0,23.28,26.81,0
Nucleus 22H :,23.68,21.13,23.18,26.74,0
Nucleus 0C :,169.58,157.69,163.17,187.87,0
Nucleus 1C :,164.59,160.88,162.73,170.15,0
Nucleus 2C :,164.51,150.09,156.88,186.56,0
Nucleus 12C :,43.81,-74.07,27.44,178.07,0
Nucleus 13C :,43.69,-74.26,27.3,178.02,0
Nucleus 15C :,43.78,-74.08,27.46,177.97,0
Nucleus 17C :,44.13,-73.57,28.12,177.85,0
Nucleus 19C :,44.44,-73.31,28.76,177.87,0
Nucleus 21C :,44.29,-73.49,28.35,178.02,0
