Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.29,25.73,28.86,36.27,0
Nucleus 4H :,30.28,25.74,28.84,36.25,0
Nucleus 5H :,30.79,27.46,28.95,35.96,0
Nucleus 6H :,30.79,27.44,28.95,35.97,0
Nucleus 7H :,30.3,26.0,27.56,37.35,0
Nucleus 8H :,31.23,27.24,29.83,36.63,0
Nucleus 9H :,31.24,27.28,29.75,36.68,0
Nucleus 10H :,30.71,25.77,28.65,37.71,0
Nucleus 11H :,23.72,20.96,23.09,27.1,0
Nucleus 14H :,23.71,20.93,23.1,27.11,0
Nucleus 16H :,23.71,20.89,23.13,27.11,0
Nucleus 18H :,23.72,20.89,23.14,27.12,0
Nucleus 20H :,23.72,20.91,23.13,27.12,0
Nucleus 22H :,23.72,20.95,23.1,27.1,0
Nucleus 0C :,168.88,158.16,163.0,185.47,0
Nucleus 1C :,164.64,161.52,163.6,168.8,0
Nucleus 2C :,164.02,149.57,156.57,185.91,0
Nucleus 12C :,46.13,-70.86,32.71,176.53,0
Nucleus 13C :,46.11,-70.89,32.72,176.5,0
Nucleus 15C :,46.14,-70.86,32.79,176.48,0
Nucleus 17C :,46.16,-70.79,32.78,176.48,0
Nucleus 19C :,46.2,-70.73,32.8,176.52,0
Nucleus 21C :,46.19,-70.78,32.79,176.55,0
